Unnamed: 0,번호,제목,저자,출판사,출판일
,20,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2018
,21,Comment on “Data Science and its Relationship to Big Data and Data-Driven Decision Making”,"GONG, A.",Mary Ann Liebert,2013
,22,Multiple Targets Tracking with Big Data-Based Measurement for Extended Binary Phase Shift Keying Transceiver,"Yu, Yao; Zhao, Junhui; Lenan, Wu",Mary Ann Leibert,2019
,23,Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay",Mary Ann Leibert,2023
,24,Big data: new methods and ideas in geological scientific research,"Qi, Zhang; Xuelong, Liu",John Wiley & Sons Ltd,2019
,25,The Role of Teamwork in the Analysis of Big Data: A Study of Visual Analytics and Box Office Prediction,unknown,Mary Ann Leibert,2017
,26,"Global water cycle and remote sensing big data: overview, challenge, and opportunities","Cui, Yaokui; Chen, Xi; Gao, Jinyu; Yan, Binyan; Tang, Guoqiang; Hong, Yang",John Wiley & Sons Ltd,2018
,27,Deep learning for processing and analysis of remote sensing big data: a technical review,"Zhang, Xin",John Wiley & Sons Ltd,2022
,28,Data Science and its Relationship to Big Data and Data-Driven Decision Making,unknown,Mary Ann Leibert,2013
,29,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,30,Computational Propaganda and Political Big Data: Moving Toward a More Critical Research Agenda,unknown,Mary Ann Leibert,2017
,31,The Structural Consequences of Big Data-Driven Education,unknown,Mary Ann Leibert,2017
,32,Software architectures for big data: a systematic literature review,"Avci, Cigdem",Springer Nature,2020
,33,Diversity in Big Data: A Review,unknown,Mary Ann Leibert,2017
,34,Big Data–Artificial Intelligence Fusion Technology in Education in the Context of the New Crown Epidemic,"Zhao, JunJing; Li, Qi",Mary Ann Leibert,2022
,35,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities","Chen, Bin; Xu, Bing; Gong, Peng",John Wiley & Sons Ltd,2021
,36,"Capturing the value of biosurveillance ""big data"" through natural capital accounting","Castle, David; Hebert, Paul D.N.; Clare, Elizabeth L.; Hogg, Ian D.; Tremblay, Crystal",John Wiley & Sons Ltd,2021
,37,Big-BOE: Fusing Spanish Official Gazette with Big Data Technology,"Basanta-Val, P.; Sánchez-Fernández, L.",Mary Ann Leibert,2018
,38,Diastema: data-driven stack for big data applications management and deployment,"Kiourtis, Athanasios",Inderscience,2023
,39,A big data-based RF localisation method for unmanned search and rescue,"Wang, Ju; Liu, Hongzhe; Bao, Hong; Montoya, Cesar Flores; Hinton, James",Inderscience,2018
,40,"Guest Editorial: Big Media Data: Understanding, Search, and Mining","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C.",unknown,2017
,41,"Guest Editorial: Big Media Data: Understanding, Search, and Mining","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2016
,42,"Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2015
,43,A survey on data‐efficient algorithms in big data era,"Adadi, Amina",Springer Nature,2021
,44,CatBoost for big data: an interdisciplinary review,"Hancock, John T.",Springer Nature,2020
,45,Privacy models for big data: a survey,"Victor, Nancy; Lopez, Daphne; Abawajy, Jemal H.",Inderscience,2016
,46,"Special Issue on Biomedical Big Data: Understanding, Learning and Applications","Zhu, J.; Liu, A.; Chen, M.; Tasdizen, T.; Su, H.",unknown,2017
,47,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,48,Visual Analysis of Multidimensional Big Data: A Scalable Lightweight Bundling Method for Parallel Coordinates,"Cui, Wenqiang",unknown,2021
,49,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,50,The Reliability of Big “Patient Satisfaction” Data,"NARAYANAN, A.;GRECO, M.;POWELL, H.COLEMAN, L.",Mary Ann Liebert,2013
,51,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,52,Big Data and Disease Prevention: From Quantified Self to Quantified Communities,"BARRETT, M. A.;HUMBLET, O.;HIATT, R. A.ADLER, N. E.",Mary Ann Liebert,2013
,53,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,54,Implications of Big Data Analytics on Population Health Management,"BRADLEY, P. S.",Mary Ann Liebert,2013
,55,XDataExplorer: A Three-Stage Comprehensive Self-Tuning Tool for Big Data Platforms,"Guo, Qing","Elsevier Science B.V., Amsterdam",2022
,56,Big data in support of the Sustainable Development Goals: a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS),"Guo, Huadong; Hackmann, Heide; Gong, Ke",John Wiley & Sons Ltd,2021
,57,A Big Data Framework to Address Building Sum Insured Misestimation,"Roberts, Callum","Elsevier Science B.V., Amsterdam",2023
,58,Furthest-Pair-Based Binary Search Tree for Speeding Big Data Classification Using K-Nearest Neighbors,"Hassanat, A. B. A.",Mary Ann Leibert,2018
,59,Getting the Dirt on Big Data,"WATERMAN, K. K.HENDLER, J.",Mary Ann Liebert,2013
,60,Call for Special Issue Papers: Big Data and the Internet-of-Things in Complex Information Systems: Selections from IoTBDS 2022 and COMPLEXIS 2022,"Chang, Victor; Kacsuk, Péter; Wills, Gary; Behringer, Reinhold",Mary Ann Leibert,2022
,61,"An Efficient, Ensemble-Based Classification Framework for Big Medical Data","Khan, Firoz; Siva Prasad, Balusupati Veera Venkata; Syed, Salman Ali; Ashraf, Imran; Ramasamy, Lakshmana Kumar",Mary Ann Leibert,2022
,62,Call for Special Issue Papers: Multimedia Big Data Analytics for Engineering Education,"Kumar, Priyan Malarvizhi; Pandey, Hari Mohan; Srivastava, Gautam",Mary Ann Leibert,2020
,63,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,64,Optimal Feature Selection for Big Data Classification: Firefly with Lion-Assisted Model,"Selvi, Ramar Senthamil; Valarmathi, Muniyappan Lakshapalam",Mary Ann Leibert,2020
,65,Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare,"Wang, Gai-Ge; Gao, Xiao-Zhi; Pei, Yan",Mary Ann Leibert,2022
,66,"Deep Learning on Big, Sparse, Behavioral Data","De Cnudde, Sofie; Ramon, Yanou; Martens, David; Provost, Foster",Mary Ann Leibert,2019
,67,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,"García-Gil, Diego; Ramírez-Gallego, Sergio; García, Salvador; Herrera, Francisco",Springer Nature,2017
,68,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,69,Call for Special Issue Papers: Multimedia Big Data Analytics for Engineering Education,"Kumar, Priyan Malarvizhi; Pandey, Hari Mohan; Srivastava, Gautam",Mary Ann Leibert,2020
,70,"Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)","Carta, Silvio",Mary Ann Leibert,2019
,71,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,72,SecDedoop: Secure Deduplication with Access Control of Big Data in the HDFS/Hadoop Environment,"Ramya, P.; Sundar, C.",Mary Ann Leibert,2020
,73,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2022
,74,Call for Special Issue Papers: Big Data Analytics in Industrial Intelligence,"Tsai, Sang-Bing; Wu, Chia-Huei; Qi, Lianyong",Mary Ann Leibert,2022
,75,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,76,Big Data in Aging Research: An Interview with Aubrey de Grey,"DUMBILL, E.",Mary Ann Liebert,2013
,77,Big data drives the development of Earth science,"Guo, Huadong",John Wiley & Sons Ltd,2017
,78,Why Big Data Won't Cure Us,"NEFF, G.",Mary Ann Liebert,2013
,79,The Quantified Self: Fundamental Disruption in Big Data Science and Biological Discovery,"SWAN, M.",Mary Ann Liebert,2013
,80,Does Medical School Training Relate to Practice? Evidence from Big Data,unknown,Mary Ann Leibert,2015
,81,"A Revolution That Will Transform How We Live, Work, and Think: An Interview with the Authors of Big Data","DUMBILL, E.",Mary Ann Liebert,2013
,82,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,83,Big Data is Rocket Fuel,"DUMBILL, E.",Mary Ann Liebert,2013
,84,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,85,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,86,Exploiting Reused-Based Sharing Work Opportunities in Big Data Multiquery Optimization with Flink,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2021
,87,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,88,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2021
,89,Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing,"Win, T. Y.; Tianfield, H.; Mair, Q.",unknown,2018
,90,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,91,Common Big Data Challenges and How to Overcome Them,unknown,Mary Ann Leibert,2014
,92,Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare,"Wang, Gai-Ge; Gao, Xiao-Zhi; Pei, Yan",Mary Ann Leibert,2021
,93,Impact of Cooperative Innovation on the Technological Innovation Performance of High-Tech Firms: A Dual Moderating Effect Model of Big Data Capabilities and Policy Support,"LI, X.;WANG, Q.;SHI, R.;WANG, X.;ZHANG, K.LIU, X.",Mary Ann Liebert,2024
,94,Gaussian Adapted Markov Model with Overhauled Fluctuation Analysis-Based Big Data Streaming Model in Cloud,"ANANTHI, M.;GOPAL, A.;RAMALAKSHMI, K.MOHAN KUMAR, P.",Mary Ann Liebert,2024
,95,STGI：a spatio-temporal grid index model for marine big data,"Qu, Tengteng; Wang, Lizhe; Yu, Jian; Yan, Jining; Xu, Guilin; Li, Meng; Cheng, Chengqi; Hou, Kaihua; Chen, Bo",John Wiley & Sons Ltd,2020
,96,"Big data analysis of swimming pools' impact on household electric intensity in San Antonio, Texas","Elnakat, Afamia; Gomez, Juan D.; Roberts, Jason; Wright, Martha",Inderscience,2015
,97,An Ensemble-Based Scalable Approach for Intrusion Detection Using Big Data Framework,"Sahu, Santosh Kumar; Mohapatra, Durga Prasad; Rout, Jitendra Kumar; Sahoo, Kshira Sagar; Luhach, Ashish Kr.",Mary Ann Leibert,2021
,98,Sharing Medical Big Data While Preserving Patient Confidentiality in Innovative Medicines Initiative: A Summary and Case Report from BigData@Heart,"SCHRöDER, M.;MULLER, S. H. A.;VRADI, E.;MIELKE, J.;LIM, Y. M. F.;COUVELARD, F.;MOSTERT, M.;KOUDSTAAL, S.;EIJKEMANS, M. J. C.GERLINGER, C.",Mary Ann Liebert,2023
,99,Learning from Failure: Big Data Analysis for Detecting the Patterns of Failure in Innovative Startups,"CAVICCHIOLI, M.KOCOLLARI, U.",Mary Ann Liebert,2021
,100,A Bibliometric Review of Big Data in Finance,"NOBANEE, H.",Mary Ann Liebert,2021
,1,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"EL-LATIF, A. A. A.;TAWALBEH, L. A.;MALEH, Y.SALDAMLI, G.",Mary Ann Liebert,2021
,2,Enhanced Neural Network-Based Univariate Time-Series Forecasting Model for Big Data,"NAMASUDRA, S.;DHAMODHARAVADHANI, S.;RATHIPRIYA, R.;CRESPO, R. G.MOPARTHI, N. R.",Mary Ann Liebert,2024
,3,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"DIN, S.;ASLAN, N.;CHEUNG, S. K. S.HASAN, K.",Mary Ann Liebert,2021
,4,Spatial patterns of urban green space and its actual utilization status in China based on big data analysis,"Huang, Yiyi; Lin, Tao; Zhang, Guoqin; Zhu, Yongguan; Zeng, Zhiwei; Ye, Hong",John Wiley & Sons Ltd,2021
,5,Special Issue: Big Scientific Data and Machine Learning in Science and Engineering,"POURKAMALI-ANARAKI, F.",Mary Ann Liebert,2024
,6,Internet of Things-Based Optimized Routing and Big Data Gathering System for Landslide Detection,"Menon, Varun G.; Verma, Sandeep; Kaur, Satnam; Sehdev, Paramjit S.",Mary Ann Leibert,2021
,7,DGSLSTM: Deep Gated Stacked Long Short-Term Memory Neural Network for Traffic Flow Forecasting of Transportation Networks on Big Data Environment,"GURUSAMY, R.SEENIVASAN, S. R.",Mary Ann Liebert,2024
,8,A Weighted GraphSAGE-Based Context-Aware Approach for Big Data Access Control,"SHAN, D.;DU, X.;WANG, W.;LIU, A.WANG, N.",Mary Ann Liebert,2024
,9,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,10,A Ring Learning with Errors-Based Ciphertext-Policy Attribute-Based Proxy Re-Encryption Scheme for Secure Big Data Sharing in Cloud Environment,"LI, J.;PENG, J.QIAO, Z.",Mary Ann Liebert,2024
,11,Attribute-Based Adaptive Homomorphic Encryption for Big Data Security,"THENMOZHI, R.;SHRIDEVI, S.;MOHANTY, S. N.;GARCíA-DíAZ, V.;GUPTA, D.;TIWARI, P.SHORFUZZAMAN, M.",Mary Ann Liebert,2024
,12,"Kriging, Polynomial Chaos Expansion, and Low-Rank Approximations in Material Science and Big Data Analytics","MAHDAVI, G.HARIRI-ARDEBILI, M. A.",Mary Ann Liebert,2024
,13,Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs,"Mihály, Szabolcs; Remetey-Fülöpp, Gábor; Kristóf, Dániel; Czinkóczky, Anna; Palya, Tamás; Pásztor, László; Rudan, Pál; Szabó, György; Zentai, László",John Wiley & Sons Ltd,2021
,14,A GIS-based analytical framework for evaluating the effect of COVID-19 on the restaurant industry with big data,"Wang, Siqin",John Wiley & Sons Ltd,2023
,15,Computational Efficient Approximations of the Concordance Probability in a Big Data Setting,"OIRBEEK, R. V.;PONNET, J.;BAESENS, B.VERDONCK, T.",Mary Ann Liebert,2024
,16,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,17,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,18,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd; Tawalbeh, Lo'ai; Maleh, Yassine; Saldamli, Gokay",Mary Ann Leibert,2021
,19,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,20,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,21,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,22,Big Data Applications in Guangzhou Restaurants Analysis,"Chang, Victor; Ji, Ziyang; Xu, Qianwen Ariel",Mary Ann Leibert,2021
,23,Unlocking the Power of Big Data at the National Institutes of Health,"COAKLEY, M. F.;LEERKES, M. R.;BARNETT, J.;GABRIELIAN, A. E.;NOBLE, K.;WEBER, M. N.HUYEN, Y.",Mary Ann Liebert,2013
,24,A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science,unknown,Mary Ann Leibert,2014
,25,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,26,The challenges of a Big Data Earth,"Boulton, Geoffrey",John Wiley & Sons Ltd,2018
,27,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,28,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,29,Quantifying Insurance Agency Channel Dynamics Using Premium Sales Big Data and External Factors,"KAYA, E.;ALPAN, E.;BALCISOY, S.BOZKAYA, B.",Mary Ann Liebert,2021
,30,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,31,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,32,"The Coming of Age for Big Data in Systems Radiobiology, an Engineering Perspective","KARAPIPERIS, C.;CHASAPI, A.;ANGELIS, L.;SCOURAS, Z. G.;MASTROBERARDINO, P. G.;TAPIO, S.;ATKINSON, M. J.OUZOUNIS, C. A.",Mary Ann Liebert,2021
,33,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,34,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"DIN, S.;ASLAN, N.;CHEUNG, S. K. S.HASAN, K.",Mary Ann Liebert,2021
,35,Big data analytics capability for digital transformation in the insurance sector,"Moturi, Christopher A.; Okemwa, Vincent O.; Orwa, Daniel O.",Inderscience,2021
,36,Electronic Health Records Data and Metadata: Challenges for Big Data in the United States,"SWEET, L. E.MOULAISON, H. L.",Mary Ann Liebert,2013
,37,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,38,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,39,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,40,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,41,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,42,Moth-Flame Optimization-Bat Optimization: Map-Reduce Framework for Big Data Clustering Using the Moth-Flame Bat Optimization and Sparse Fuzzy C-Means,"Ravuri, Vasavi; Vasundra, S.",Mary Ann Leibert,2020
,43,Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals,"Kulmala, Markku; Lintunen, Anna; Ylivinkka, Ilona; Mukkala, Janne; Rantanen, Rosa; Kujansuu, Joni; Petäjä, Tuukka; Lappalainen, Hanna K.",John Wiley & Sons Ltd,2021
,44,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,45,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,46,Overcoming Resistance to Big Data and Operational Changes Through Interactive Data Visualization,"Phillips-Wren, Gloria; McKniff, Sueanne",Mary Ann Leibert,2020
,47,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,48,Exploring relationships between medical college rankings and performance with big data,"Rao, A.",Springer Nature,2019
,49,Big Data in Forecasting Research: A Literature Review,"Tang, Ling","Elsevier Science B.V., Amsterdam",2022
,50,Evaluating associative classification algorithms for Big Data,"Padillo, Francisco",Springer Nature,2019
,51,Remotely sensed big data for the oceans and polar regions,"Li, Xiao-Ming",John Wiley & Sons Ltd,2022
,52,Big Multimodal Data Analysis: Models and Performance Analysis,"Jeon, Gwanggil",Mary Ann Leibert,2022
,53,Toward Business Process Innovation in the Big Data Era: A Mediating Role of Big Data Knowledge Management,"Saide, Saide; Sheng, Margaret L.",Mary Ann Leibert,2020
,54,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd",Mary Ann Leibert,2021
,55,Big Data Assurance: An Approach Based on Service-Level Agreements,"Ardagna, Claudio A.",Mary Ann Leibert,2023
,56,Prediction and Big Data Impact Analysis of Telecom Churn by Backpropagation Neural Network Algorithm from the Perspective of Business Model,"Xu, Jiabing",Mary Ann Leibert,2023
,57,Fine Clustering Analysis of Internet Financial Credit Investigation Based on Big Data,"Sun, Jingqi","Elsevier Science B.V., Amsterdam",2022
,58,Big Multimodal Data Analysis: Applications,"Jeon, Gwanggil",Mary Ann Leibert,2022
,59,"On the Unstructured Big Data Analytical Methods in Firms: Conceptual Model, Measurement, and Perception","Tarka, Piotr; Jędrych, Elżbieta",Mary Ann Leibert,2020
,60,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,61,Vehicle Intelligent Classification Based on Big Multimodal Data Analysis and Sparrow Search Optimization,"Shao, Caixing",Mary Ann Leibert,2022
,62,Big Data in Business: A Bibliometric Analysis of Relevant Literature,"Nobanee, Haitham",Mary Ann Leibert,2020
,63,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,"García-Vico, Ángel",Springer Nature,2019
,64,Big Data Analytics and Visualization in Traffic Monitoring,"Bachechi, Chiara","Elsevier Science B.V., Amsterdam",2022
,65,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,66,RST-DE: Rough Sets-Based New Differential Evolution Algorithm for Scalable Big Data Feature Selection in Distributed Computing Platforms,"Thakur, Santosh; Dharavath, Ramesh; Shankar, Achyut; Singh, Prabhishek; Diwakar, Manoj; Khosravi, Mohammad R.",Mary Ann Leibert,2022
,67,Big Data architecture for intelligent maintenance: a focus on query processing and machine learning algorithms,"Lehmann, Claude",Springer Nature,2020
,68,Agricultural Disaster Risk Management and Capability Assessment Using Big Data Analytics,"Wang, Caili; Gao, Yuwen; Aziz, Asad; Ogunmola, Gabriel A.",Mary Ann Leibert,2022
,69,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,70,Call for Papers: Big Data,"Obradovic, Zoran",Mary Ann Leibert,2022
,71,Artificial Bee Colony Reinforced Extended Kalman Filter Localization Algorithm in Internet of Things with Big Data Blending Technique for Finding the Accurate Position of Reference Nodes,"Raghav, R. Srinivasa; Thirugnanasambandam, Kalaipriyan; Varadarajan, Vijayakumar; Vairavasundaram, Subramaniyaswamy; Ravi, Logesh",Mary Ann Leibert,2022
,72,Toward a General Framework for Multimodal Big Data Analysis,"Bellandi, Valerio",Mary Ann Leibert,2022
,73,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,74,A Survey of Biological Data in a Big Data Perspective,"Dall'Alba, Gabriel; Casa, Pedro Lenz; Abreu, Fernanda Pessi de; Notari, Daniel Luis; de Avila e Silva, Scheila",Mary Ann Leibert,2022
,75,Online Analytical Processing for Business Intelligence in Big Data,"Patel, Jigna Ashish; Sharma, Priyanka",Mary Ann Leibert,2020
,76,Corrigendum to High Frequency Analysis of Macro News Releases on the Foreign Exchange Market: A Survey of Literature [Big Data Res. 2 (1) (2015) 33–48],"Li, Wei","Elsevier Science B.V., Amsterdam",2022
,77,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,78,Big data in support of the sustainable development goals (continued): a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS),"Guo, Huadong; Hackmann, Heide; Gong, Ke",John Wiley & Sons Ltd,2021
,79,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,80,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,81,Towards Efficient Energy Utilization Using Big Data Analytics in Smart Cities for Electricity Theft Detection,"Arif, Arooj","Elsevier Science B.V., Amsterdam",2022
,82,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,83,A Novel Big Data Approach for Record and Represent Compliance in the Covid-19 Era,"Giacalone, M.","Elsevier Science B.V., Amsterdam",2022
