store,address,phone,address2,_GC_TYPE,_CLEANADDR,_X,_Y
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시 강남구 논현로 717 1층,정,서울특별시 강남구 논현로 717 (논현동),127.02953682338341,37.51596129087994
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",정,서울특별시 서초구 서초동 1685,127.01560090851564,37.4987295970457
반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,정,서울특별시 서초구 신반포로 23 (반포동),126.98723035699052,37.501745231618266
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,정,서울특별시 강남구 테헤란로20길 10 (역삼동),127.03414212235208,37.49908773799254
잠실신천점,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,정,서울특별시 송파구 석촌호수로 118 (잠실동),127.0900350975532,37.50744047150724
방배역점,"서울시 서초구 효령로 117  3,4층",02-521-4562,"서울특별시 서초구 효령로 117 3,4층",유,서울특별시 서초구 효령로 117 (방배동),126.99694133146448,37.481464042587795
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,정,서울특별시 서초구 서초대로74길 4 (서초동),127.02565413698001,37.49680361608399
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시 서초구 방배중앙로 187,정,서울특별시 서초구 방배중앙로 187 (방배동),126.98551882887102,37.495718223364975
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,정,서울특별시 강남구 테헤란로70길 12 (대치동),127.05315771409961,37.5047422302738
매봉역점,서울시 강남구 논현로 38길 42 418호,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,정,서울특별시 강남구 논현로38길 42 (도곡동),127.04503830489378,37.48557108263978
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,정,서울특별시 서초구 서초대로74길 11 (서초동),127.02694186106164,37.49657302976404
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,정,서울특별시 강남구 봉은사로 628 (삼성동),127.0641641421308,37.5146701999603
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,정,서울특별시 서초구 서초중앙로 43 (서초동),127.0155830852542,37.48553764327178
동부이촌동점,서울시 용산구 이촌로 303 현대아파트상가11동102호,02-792-3677,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,정,서울특별시 용산구 이촌로 303 (이촌동),126.98261233581998,37.518763247433604
방이점,서울시 송파구 오금로 11길 7,02-415-5561,서울특별시 송파구 오금로 11길 7,정,서울특별시 송파구 오금로11길 7 (방이동),127.10796605813547,37.514557394769845
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,유,서울특별시 중구 순화동 204-2,126.97219753521178,37.55952199350004
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,정,서울특별시 종로구 서린동 136,126.97886233636281,37.569762320908936
대학로점,서울시 종로구 대학로 10길 5 1-60호,02-762-3146,서울특별시 종로구 대학로 10길 5 1-60호,유,서울특별시 종로구 대학로10길 5 (동숭동),127.00258055450229,37.58185182753511
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",정,서울특별시 강남구 도산대로67길 7 (청담동),127.04439462669805,37.52449099400458
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,정,서울특별시 강남구 테헤란로87길 36 (삼성동),127.05859694754976,37.51023309709225
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,유,서울특별시 강남구 테헤란로4길 28 (역삼동),127.0300995957287,37.49652654445149
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,유,서울특별시 서대문구 창천동 18-1,126.93753788679653,37.55739324476007
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",유,서울특별시 종로구 청계천로 83 (관철동),126.98672817174987,37.56847626882576
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,정,서울특별시 종로구 새문안로3길 23 (내수동),126.97244086533242,37.57263259172954
고대안암역점,서울시 성북구 개운사길8 101-3 1층,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,유,서울특별시 성북구 개운사길 8 (안암동5가),127.0295370311495,37.58673136566221
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278,서울특별시 마포구 홍익로 6길 26,정,서울특별시 마포구 홍익로6길 26 (동교동),126.92326196901304,37.55547186421205
순화동라마다호텔점,서울시 중구 칠패로 27 151호,02-3789-3347,서울특별시 중구 칠패로 27 151호,정,서울특별시 중구 칠패로 27 (순화동),126.97199102532078,37.56030583998443
왕십리민자역사점,서울시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,02-2200-6120,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,정,서울특별시 성동구 왕십리광장로 17 (행당동),127.03834485229177,37.56146573169716
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,정,서울특별시 광진구 광나루로56길 85 (구의동),127.09574341323913,37.5356547963703
부산광복동점,부산광역시 중구 창선동 2가 8-2,051-243-9105,부산광역시 중구 창선동 2가 8-2,정,부산광역시 중구 창선동2가 8-2,129.0289902993198,35.099433440609545
외대앞점,서울시 동대문구 이문로 106 1~3층,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,유,서울특별시 동대문구 이문로 106 (이문동),127.0602178868052,37.59606911062929
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,유,서울특별시 광진구 자양동 227-1,127.07683193296681,37.53787416864046
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,정,서울특별시 중구 남대문로7길 16 (소공동),126.98116394422998,37.56416829544853
목동점,서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,정,서울특별시 양천구 목동동로 293 (목동),126.87575457785361,37.52817201867787
세종문화회관옆점,서울 종로구 새문안로 9길 25 1층,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,정,서울특별시 종로구 새문안로9길 25 (당주동),126.97548179162091,37.571352065366305
신촌역앞점,"서울시 서대문구 신촌역로 20  27-27,16,65,61호",02-312-5568,"서울특별시 서대문구 신촌역로 20 27-27,16,65,61호",유,서울특별시 서대문구 신촌역로 20 (대현동),126.94313734336406,37.558368487469124
중계동은행사거리점,서울시 노원구 한글비석로 263 1층,02-931-3055,서울특별시 노원구 한글비석로 263 1층,정,서울특별시 노원구 한글비석로 263 (중계동),127.07646799584397,37.65118301183012
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,유,서울특별시 영등포구 의사당대로 97-2 (여의도동),126.92444765865982,37.52210487174765
일산킨텍스현대백화점점,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,031-822-3575,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,정,경기도 고양시 일산서구 대화동 2602,126.75162908351736,37.66801304425778
서울스퀘어점,서울시 중구 한강대로 416 지하1층,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,정,서울특별시 중구 한강대로 416 (남대문로5가),126.97376283576268,37.55552006097673
여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층,02-783-2043,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,정,서울특별시 영등포구 국제금융로 52 (여의도동),126.92950407303441,37.52272763815878
인천구월동점,"인천광역시 남동구 예술로 138 지상1,2층",032-421-3418,"인천광역시 남동구 예술로 138 지상1,2층",정,인천광역시 남동구 예술로 138 (구월동),126.70100636159358,37.44624139865881
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108,"서울특별시 종로구 사직로 130,1 현대적선빌딩1층",유,서울특별시 종로구 사직로 130 (적선동),126.97281382877904,37.575896291044714
일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동,정,경기도 고양시 일산동구 장항동 764 C동,126.76877605669827,37.661339622863416
분당차병원점,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호,031-781-0471,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호,유,경기도 성남시 분당구 야탑동 354-1,127.12634651932767,37.41115031139566
시흥홈플러스점,서울시 금천구 시흥대로 201 1층,02-803-9994,서울특별시 금천구 시흥대로 201 1층,정,서울특별시 금천구 시흥대로 201 (시흥동),126.90078958846479,37.45198091121885
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737,경남북도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,대,경상남도,128.37421677500842,35.36836192337513
대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층",02-742-3318,"서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층",정,서울특별시 종로구 대학로12길 62 (동숭동),127.00372105119072,37.581406212290176
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,정,서울특별시 영등포구 여의서로 43 (여의도동),126.9249207678098,37.53070615932066
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",정,경기도 성남시 분당구 분당로53번길 11 (서현동),127.12155207247231,37.3840685472974
고대세종캠퍼스점,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,044-862-5144,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,정,세종특별자치시 세종로 2511 (조치원읍),127.28431858882522,36.60993591351184
무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",02-753-2374,"서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4",대,서울특별시 중구,126.99298333010267,37.557866613822455
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,정,경기도 성남시 분당구 황새울로 326 (서현동),127.12186627386548,37.38512934035877
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,정,경기도 고양시 일산동구 정발산로 24 (장항동),126.77272593965958,37.65476968065447
충무로극동빌딩점,서울시 중구 퇴계로 173 남산스퀘어 1층,02-2273-3181,서울특별시 중구 퇴계로 173 남산스퀘어 1층,정,서울특별시 중구 퇴계로 173 (충무로3가),126.99105851457884,37.56182408251135
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,정,경기도 성남시 분당구 황새울로214번길 8 (수내동),127.11232568039814,37.378120513404845
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩,070-4140-7003,서울특별시 중구 세종대로 136 파이낸스빌딩,정,서울특별시 중구 세종대로 136 (태평로1가),126.97828394815296,37.56841437177363
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101,서울특별시 강남구 테헤란로 312 707-2번지1층,유,서울특별시 강남구 테헤란로 312 (역삼동),127.04503372715884,37.502964466593724
여의도역점,서울시 영등포구 의사당대로 108 아일렉스상가 1층 101호,02-784-5531,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,정,서울특별시 영등포구 의사당대로 108 (여의도동),126.92398807196517,37.52101662649655
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,정,경기도 화성시 노작로 199 (반송동),127.0746789240899,37.20583964492728
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,정,서울특별시 강남구 논현로167길 9 (신사동),127.02742806733231,37.52440210023841
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층,02-552-7106,서울특별시 강남구 테헤란로 8길 42 1층,정,서울특별시 강남구 테헤란로8길 42 (역삼동),127.03217418723618,37.49616822633509
남대문점,서울시 중구 후암로110 581호 서울시티타워1층,02-777-4217,서울특별시 중구 후암로110 581호 서울시티타워1층,정,서울특별시 중구 후암로 110 (남대문로5가),126.97405633740533,37.5543203646631
대전탄방동점,대전시 서구 문정로76 1층,042-471-9805,대전광역시 서구 문정로76 1층,정,대전광역시 서구 문정로 76 (탄방동),127.38769114878912,36.34641499090165
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,정,서울특별시 강남구 봉은사로 524 (삼성동),127.05711615238548,37.5129526305153
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC B2층,02-6137-5054,서울특별시 영등포구 국제금융로10 IFC B2층,정,서울특별시 영등포구 국제금융로 10 (여의도동),126.92593688056672,37.52505839670233
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177,서울특별시 강남구 선릉로93길 6(역삼동) 1층,정,서울특별시 강남구 선릉로93길 6 (역삼동),127.04789990592155,37.505685074151906
올림픽플라자,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호,02-402-3571,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,정,서울특별시 송파구 양재대로 1222 (방이동),127.13148768105434,37.51577261231086
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875,서울특별시 강남구 선릉로86길 11,정,서울특별시 강남구 선릉로86길 11 (대치동),127.05058691656247,37.503404937225
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,정,서울특별시 영등포구 국제금융로 20 (여의도동),126.92729734506698,37.5248884349813
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151,"충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",정,충청북도 청주시 흥덕구 대농로 17 (복대동),127.42418681661911,36.64526786443392
수유역점,서울시 강북구 도봉로 352 효성네오인텔리안 101호,02-906-5571,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호,정,서울특별시 강북구 도봉로 352 (번동),127.02696930073103,37.63866278872246
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층,02-2210-9484,서울특별시 구로구 경인로 662 디큐브시티 4층,정,서울특별시 구로구 경인로 662 (신도림동),126.88925698922523,37.508845568793326
삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311,"서울특별시 강남구 삼성로 551 1층,2층",정,서울특별시 강남구 삼성로 551 (삼성동),127.05415057511014,37.51071161669872
삼성금융플라자점,서울 강남구 테헤란로 419 삼성금융플라자1층,02-554-7591,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,정,서울특별시 강남구 테헤란로 419 (삼성동),127.05217954629192,37.505861981933485
삼청동점,서울시 종로구 삼청로 109,02-730-5177,서울특별시 종로구 삼청로 109,정,서울특별시 종로구 삼청로 109 (삼청동),126.98178684025645,37.585125859497424
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층",02-523-8841,"서울특별시 서초구 강남대로 267 2,3층",유,서울특별시 서초구 강남대로 267 (서초동),127.03233409153884,37.48716484737309
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,정,서울특별시 마포구 상암산로 82 (상암동),126.89277394675159,37.57971592230447
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101,"서울특별시 관악구 관악로 161 층일부 2,3층",정,서울특별시 관악구 관악로 161 (봉천동),126.95218405627111,37.47960827311408
서초우성아파트앞점,서울시 서초구 사임당로 171(서초동) EWR빌딩 2층,02-522-7158,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층,정,서울특별시 서초구 사임당로 171 (서초동),127.02836325529705,37.49274806703658
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,정,경기도 수원시 팔달구 권광로 195 (인계동),127.03268782912568,37.26496108417198
안국역점,"서울시 종로구 율곡로 47 1,2층",02-722-3356,"서울특별시 종로구 율곡로 47 1,2층",유,서울특별시 종로구 율곡로 47 (안국동),126.98458775537813,37.5763388699383
청주점,충북 청주시 상당구 상당로69번길20 2~4층,043-221-2373,충청북도 청주시 상당구 상당로69번길20 2~4층,유,충청북도 청주시 상당구 상당로69번길 20 (북문로1가),127.48929164056048,36.63454527652986
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",정,서울특별시 서초구 강남대로 449-3 (서초동),127.02488012974307,37.50235452841711
상봉엔터식스점,서울시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,02-437-8891,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,정,"서울특별시 중랑구 망우로 353, B동 (상봉동)",127.09082274558183,37.59810563040609
이태원점,서울시 용산구 이태원로 189,02-794-3361,서울특별시 용산구 이태원로 189,정,서울특별시 용산구 이태원로 189 (이태원동),126.99503561186259,37.53484207421984
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,정,서울특별시 강남구 테헤란로1길 29 (역삼동),127.02729181991376,37.50011508138292
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층,02-6262-8100,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,정,서울특별시 종로구 낙원동 272,126.98734270569072,37.57304685581588
뉴가로수길점,서울시 강남구 압구정로12길 6,02-544-7105,서울특별시 강남구 압구정로12길 6,대,서울특별시 강남구 압구정로,127.04442089686034,37.52648702362656
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,정,경기도 성남시 분당구 동판교로177번길 25 (삼평동),127.11356829671982,37.39732111991319
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F",02-485-3361,"서울특별시 강동구 천호대로 1096 1,2F",유,서울특별시 강동구 천호대로 1096 (성내동),127.13324965237065,37.5352213929117
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층,정,서울특별시 강남구 압구정로29길 65 (압구정동),127.02700144529865,37.53180776151517
명동성당앞점,"서울시 중구 명동길 73 1,2층",02-777-3363,"서울특별시 중구 명동길 73 1,2층",유,서울특별시 중구 명동길 73 (명동1가),126.98623150082474,37.564389509912644
신림점,서울시 관악구 신림로 318 청암두산위브센티움1층,02-877-1194,서울특별시 관악구 신림로 318 청암두산위브센티움1층,정,서울특별시 관악구 신림로 318 (신림동),126.93025839965064,37.482584065824305
포스코사거리점,서울시 강남구 테헤란로 439,02-508-7522,서울특별시 강남구 테헤란로 439,정,서울특별시 강남구 테헤란로 439 (삼성동),127.05518772497139,37.50682751274023
대구중앙로점,대구광역시 중구 중앙대로 412-18,053-428-3370,대구광역시 중구 중앙대로 412-18,정,대구광역시 중구 중앙대로 412-18 (사일동),128.5948527672037,35.86976414550809
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층,정,서울특별시 강남구 테헤란로 143 (역삼동),127.0349072578858,37.50059283355217
오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,031-715-5638,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,정,경기도 성남시 분당구 탄천상로151번길 20 (구미동),127.10674262660406,37.34081526534143
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,정,서울특별시 영등포구 의사당대로 97 (여의도동),126.9245858785891,37.522516003127116
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층,정,서울특별시 강남구 봉은사로 207 (논현동),127.03467005249816,37.507851106178876
명동나인트리호텔점,서울시 중구 명동10길 51 나인트리호텔 본관2층,02-771-9935,서울특별시 중구 명동10길 51 나인트리호텔 본관2층,정,서울특별시 중구 명동10길 51 (충무로2가),126.98602662208886,37.56161743415845
